loggingTime,loggingSample,identifierForVendor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,state
2015-10-28 18:53:21.752,1,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1446072801.676947,15.98382186889648,53.99954223632812,-1.80230712890625,331.2821044921875,343.7997436523438,25,154321.7069710417,-0.0279388427734375,-0.015533447265625,-1.01202392578125,154321.5458910417,-0.03043540388575256,0.1965713821681657,-0.06647756081444893,154321.5458910417,3.003925094223967,-0.02845413727630701,-0.01655479862309825,-0.01822457835078239,0.1529357433319092,-0.0706268846988678,0.03500767797231674,-0.00790230929851532,-0.02329261787235737,XArbitraryZVertical,0.01362316162565928,-0.009235330745613743,0.9975048536867472,0.06865264018760994,-0.02844639867544174,0.01655404269695282,-0.9994582533836365,0,0,0,-1,154321.1324700417,unknown,2,2015-10-28 18:53:21.173,154321.4951410417,0,-1.567841,100.4678,0
2015-10-28 18:53:21.922,2,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1446072801.861634,16.15433883666992,53.76165771484375,-2.75396728515625,331.0606994628906,343.5783386230469,25,154321.8788890417,-0.0380096435546875,-0.0038299560546875,-1.02410888671875,154321.7109670417,-0.01492861580654818,0.03291986686668748,0.006223274835297164,154321.7109670417,3.002975025944368,-0.03385049763714926,-0.01127542865834785,-0.002727736020460725,-0.01092918124049902,0.00212463503703475,0.005903039127588272,-0.02680863626301289,-0.01266033016145229,XArbitraryZVertical,0.01649316609602027,-0.006795398816054863,0.9974469771062031,0.06914713218035565,-0.03384188190102577,0.01127518992871046,-0.9993636012077332,0,0,0,-1,154321.7589350417,stationary,1,2015-10-28 18:53:21.821,154321.4951410417,0,-1.567841,100.4678,0
2015-10-28 18:53:22.092,3,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1446072802.045087,16.6658935546875,53.86360931396484,-1.999267578125,331.0221252441406,343.5397644042969,25,154322.0507880417,-0.0438690185546875,-0.0035858154296875,-1.013580322265625,154322.0410990417,-0.008543420776974196,0.03504506941657071,0.004018177452711554,154321.8760440417,3.003024863458819,-0.03347734350637897,-0.005296531035688588,-0.0006867093616165221,0.003584560472518206,-0.00113161071203649,0.001305093872360885,-0.0160386934876442,-0.002405387349426746,XArbitraryZVertical,0.01651436503872205,-0.003800273291290088,0.9974606495864053,0.06917431746649964,-0.03347061946988106,0.005296506453305483,-0.9994256496429443,0,0,0,-1,154321.7589350417,stationary,1,2015-10-28 18:53:21.821,154321.4951410417,0,-1.567841,100.4678,0
2015-10-28 18:53:22.267,4,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1446072802.224613,16.49537658691406,53.28585052490234,-2.3602294921875,330.96435546875,343.4819946289062,25,154322.2226940417,-0.034271240234375,-0.009979248046875,-0.9972686767578125,154322.2061980417,-0.01495578004966699,0.04779149102590796,0.003959055276511796,154322.0410990417,3.003020342641538,-0.03662334461157712,-0.002122780970752823,0.003565345657989383,-0.009251408278942108,5.123988739796914e-05,-0.001119909691624343,-0.007219214923679829,-0.02321004308760166,XArbitraryZVertical,0.01819323694642623,-0.002326325085212294,0.9974342063272597,0.06919969934421688,-0.03661507740616798,0.002122779376804829,-0.9993271827697754,0,0,0,-1,154321.7589350417,stationary,1,2015-10-28 18:53:21.821,154321.4951410417,0,-1.567841,100.4678,0
2015-10-28 18:53:22.436,5,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1446072802.406971,16.59768676757812,52.43618774414062,-2.655517578125,330.8998718261719,343.4175109863281,25,154322.3945980417,-0.03302001953125,-0.0074920654296875,-0.9949951171875,154322.3712740417,-0.01495924215908409,0.05734877722987532,0.004937766977115916,154322.3712740417,3.003161092278782,-0.03536874889846796,0.001918280337718035,-0.002919438760727644,0.01274933852255344,0.001053327810950577,0.004477520938962698,-0.005802668165415525,0.002027781447395682,XArbitraryZVertical,0.01770742659747791,-0.0002663025607806652,0.9974479221407726,0.06916660135721996,-0.03536130860447884,-0.001918279216624796,-0.9993727803230286,0,0,0,-1,154321.7589350417,stationary,1,2015-10-28 18:53:21.821,154321.4951410417,0,-1.567841,100.4678,0
2015-10-28 18:53:22.608,6,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1446072802.589131,16.15434646606445,53.96558380126953,-2.42584228515625,330.8496398925781,343.3672790527344,25,154322.5664910417,-0.0296478271484375,-0.067108154296875,-1.013641357421875,154322.5363510417,-0.01814784493223596,0.05840898165983587,0.007086139028482837,154322.5363510417,3.003377662554269,-0.033356839327392,0.004569040595709797,-0.006130609661340714,0.01369525864720345,0.003240806283429265,0.001901941373944283,-0.06498053669929504,-0.01887726597487926,XArbitraryZVertical,0.0167955236938661,0.001127118061986825,0.9974690437583331,0.06908072620184603,-0.03335030749440193,-0.004569024778902531,-0.9994332790374756,0,0,0,-1,154321.7589350417,stationary,1,2015-10-28 18:53:21.821,154321.4951410417,0,-1.567841,100.4678,0
2015-10-28 18:53:22.792,7,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1446072802.771045,15.23354148864746,53.52378082275391,-3.70556640625,330.8839721679688,343.401611328125,25,154322.7383590417,-0.034698486328125,-0.062469482421875,-1.016433715820312,154322.7014210417,-0.01601545184740951,0.05309943739454489,0.006050435680551022,154322.7014210417,3.003751116090521,-0.03191882145388488,0.0112022769638942,-0.004007842391729355,0.008290708996355534,0.00224425713531673,-0.0002388691063970327,-0.05497532710433006,-0.01113115716725588,XArbitraryZVertical,0.01630627403185476,0.004488099649149761,0.9974770546281326,0.06894554285185038,-0.03191139921545982,-0.01120204292237759,-0.9994279146194458,0,0,0,-1,154321.7589350417,stationary,1,2015-10-28 18:53:21.821,154321.4951410417,0,-1.567841,100.4678,0
2015-10-28 18:53:22.952,8,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1446072802.771045,15.23354148864746,53.52378082275391,-3.70556640625,330.8839721679688,343.401611328125,25,154322.9102690417,-0.0327606201171875,-0.0526580810546875,-1.0140380859375,154322.8665050417,-0.01281113642382617,0.04247928359952691,0.005053348168425354,154322.8665050417,3.003961710301492,-0.03165459239897099,0.0238680963563356,-0.0007657999522052705,-0.002380034420639277,0.001268318039365113,0.006005526054650545,-0.03529249504208565,0.004890617914497852,XArbitraryZVertical,0.01660852866015185,0.0108158478220225,0.9974241776105227,0.06893608728106893,-0.03164029121398926,-0.02386583015322685,-0.9992143511772156,0,0,0,-1,154321.7589350417,stationary,1,2015-10-28 18:53:21.821,154322.8063600417,0,-1.567841,100.4678,0
2015-10-28 18:53:23.125,9,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1446072802.952864,15.16533470153809,53.18389892578125,-2.98370361328125,330.9359741210938,343.45361328125,25,154323.0821390417,-0.0379638671875,-0.05010986328125,-1.024688720703125,154323.0315800417,-0.008549013415263363,0.04672649290598527,0.004977714393467104,154323.0315800417,3.004201398481576,-0.03202988575419614,0.03247097665902651,0.003535592230036855,0.001868273830041289,0.001191685325466096,-0.006185221020132303,-0.02438897639513016,-0.01422337256371975,XArbitraryZVertical,0.01708861941983207,0.01509530688668859,0.9973641382204776,0.06888313718217928,-0.03200752660632133,-0.03246527165174484,-0.9989601969718933,0,0,0,-1,154323.0511410417,unknown,1,2015-10-28 18:53:23.115,154322.8063600417,0,-1.567841,100.4678,0
2015-10-28 18:53:23.296,10,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1446072803.135609,15.50637245178223,53.52374267578125,-2.9837646484375,330.9506225585938,343.46826171875,25,154323.2540590417,-0.0424652099609375,-0.0590057373046875,-1.012710571289062,154323.1966600417,-0.007478422657051509,0.04884903229477842,0.006014216689725943,154323.1966600417,3.004538196296535,-0.03268057498338116,0.03851969874483722,0.004633752629160881,0.003991617355495691,0.002227654447779059,-0.0006899339496158063,-0.01912227272987366,-0.0009854412637650967,XArbitraryZVertical,0.01761672070437877,0.01809227110017606,0.9973131896690243,0.06876570795296555,-0.03265051916241646,-0.03851017355918884,-0.998724639415741,0,0,0,-1,154323.0511410417,unknown,1,2015-10-28 18:53:23.115,154322.8063600417,0,-1.567841,100.4678,0
