loggingTime,loggingSample,identifierForVendor,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,state
016-01-05 20:17:07.969,2141,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1452043027.067812,40.33802598252924,-74.65678517713646,25.09211,1.52,236.25,3,5,-9999,1452043027.900836,16.95694351196289,-11.26861572265625,-16.451904296875,222.8905029296875,235.4099426269531,25,527000.663009875,0.01519775390625,-0.023895263671875,-1.005691528320312,527000.627661875,0.02665105197674996,0.03822248691314425,0.003681820207034547,527000.627661875,2.680963356793612,0.0174466840313143,0.004888900527299666,0.03156975284218788,0.007377810310572386,0.008662132546305656,0.01040169969201088,-0.003808628767728806,-0.008220778778195381,XArbitraryZVertical,0.007934858924206461,-0.004371177800881904,-0.9735595297556494,-0.2282537466076161,0.01744559034705162,-0.004888880997896194,-0.9998358488082886,0,0,0,-1,526996.0553066251,automotive,2,2016-01-05 20:17:03.609,2016-01-05 19:56:19.584,21,29.00576,0,0,2016-01-05 20:13:06.845,526999.5237998751,0,-23.3591,103.2859,3
2016-01-05 20:17:08.173,2142,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1452043028.109164,40.33801667861672,-74.65679540305833,25.15519,0.98,234.84375,4,5,-9999,1452043028.102245,16.44583511352539,-10.75909423828125,-16.6158447265625,223.0030517578125,235.5224914550781,25,527000.866184875,0.016632080078125,-0.01959228515625,-1.012542724609375,527000.827702875,-0.0276033983825623,0.03714337403944414,0.02866173859975979,527000.827702875,2.684812460292934,0.02153689719140994,0.004727671407852416,-0.02267003618180752,0.006319666281342506,0.03341661766171455,0.01893131621181965,0.006635002326220274,-0.006544962525367737,XArbitraryZVertical,0.009953419323455533,-0.004740343846221923,-0.9739787232267358,-0.2263711670809171,0.02153499238193035,-0.004727653693407774,-0.999756932258606,0,0,0,-1,526996.0553066251,automotive,2,2016-01-05 20:17:03.609,2016-01-05 19:56:19.584,21,29.00576,0,0,2016-01-05 20:13:06.845,527000.830073875,0,-23.46701,103.2872,3
2016-01-05 20:17:08.376,2143,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1452043028.109164,40.33801667861672,-74.65679540305833,25.15519,0.98,234.84375,4,5,-9999,1452043028.306461,16.92287063598633,-11.16671752929688,-16.48468017578125,223.0543823242188,235.5738220214844,25,527001.069374875,0.019195556640625,-0.027679443359375,-1.002670288085938,527001.027742875,0.01162922553204901,0.02975097148560219,-0.01315095577892029,527001.027742875,2.687384139035372,0.01885024929540877,0.006866364146877776,0.01658887416124344,-0.001063535688444972,-0.008636482991278172,-0.01140239927917719,-0.01226821169257164,-0.01433086860924959,XArbitraryZVertical,0.00840995129263202,-0.005466960973652311,-0.9742807441908133,-0.2251142300165237,0.01884868927299976,-0.006866310257464647,-0.9997987747192383,0,0,0,-1,526996.0553066251,automotive,2,2016-01-05 20:17:03.609,2016-01-05 19:56:19.584,21,29.00576,0,0,2016-01-05 20:13:06.845,527000.830073875,0,-23.46701,103.2872,3
2016-01-05 20:17:08.579,2144,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1452043028.109164,40.33801667861672,-74.65679540305833,25.15519,0.98,234.84375,4,5,-9999,1452043028.525843,16.58213043212891,-11.09881591796875,-16.2225341796875,223.3155975341797,235.8350372314453,25,527001.272572875,0.0365142822265625,-0.012420654296875,-1.00128173828125,527001.227749875,0.01032667344289125,0.03298804379059351,-0.05364032541193998,527001.227749875,2.686414055397509,0.01731039018663602,0.01435381115805691,0.01541905105113983,0.002191331703215837,-0.04962140321731567,-0.00217102374881506,-0.008794264867901802,-0.01274976786226034,XArbitraryZVertical,0.006812434349392372,-0.008944307811508326,-0.9741655872127767,-0.2255548686824643,0.01730774343013763,-0.0143533181399107,-0.9997471570968628,0,0,0,-1,526996.0553066251,automotive,2,2016-01-05 20:17:03.609,2016-01-05 19:56:19.584,21,29.00576,0,0,2016-01-05 20:13:06.845,527000.830073875,0,-23.46701,103.2872,3
2016-01-05 20:17:08.782,2145,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1452043028.109164,40.33801667861672,-74.65679540305833,25.15519,0.98,234.84375,4,5,-9999,1452043028.727973,17.1273136138916,-11.23471069335938,-15.9603271484375,223.8270721435547,236.3465118408203,25,527001.475755875,0.015899658203125,-0.0089263916015625,-1.013458251953125,527001.4278208751,-0.005354818003822324,0.03398486498661017,0.001869805401344633,527001.4278208751,2.684403640547489,0.0185876941310273,0.02294245126704031,-0.0001766714995028451,0.003182530403137207,0.005637587513774633,0.02858318388462067,-0.004784781020134687,0.007697067223489285,XArbitraryZVertical,0.006452038099853247,-0.01327798275298846,-0.9739038689758382,-0.2264802869395783,0.01858173310756683,-0.02294043824076653,-0.9995641112327576,0,0,0,-1,526996.0553066251,automotive,2,2016-01-05 20:17:03.609,2016-01-05 19:56:19.584,21,29.00576,0,0,2016-01-05 20:13:06.845,527000.830073875,0,-23.46701,103.2872,3
2016-01-05 20:17:08.985,2146,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1452043028.109164,40.33801667861672,-74.65679540305833,25.15519,0.98,234.84375,4,5,-9999,1452043028.929159,16.07101821899414,-11.1328125,-15.8619384765625,223.8357543945312,236.3551940917969,25,527001.6789658751,-0.0041046142578125,-0.023529052734375,-1.01239013671875,527001.627860875,-0.02869822390669387,0.02865508069703459,0.02235776998343322,527001.627860875,2.685800138480573,0.01878788373950009,0.02615377850460429,-0.02339685522019863,-0.002159756841138005,0.02586090750992298,0.01486527640372515,-0.01491060480475426,0.002930069109424949,XArbitraryZVertical,0.006195903923878942,-0.01485999425837897,-0.9740453299396004,-0.2257797301974471,0.01878035441040993,-0.02615079656243324,-0.9994815587997437,0,0,0,-1,526996.0553066251,automotive,2,2016-01-05 20:17:03.609,2016-01-05 19:56:19.584,21,29.00576,0,0,2016-01-05 20:13:06.845,527000.830073875,0,-23.46701,103.2872,3
2016-01-05 20:17:09.190,2147,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1452043029.124349,40.33801516987415,-74.65679992928604,25.09641,0.42,234.140625,4,5,-9999,1452043029.130997,16.54805564880371,-11.33657836914062,-16.5174560546875,223.7691955566406,236.2886352539062,25,527001.881951125,0.0007171630859375,-0.04302978515625,-1.003875732421875,527001.8276871251,0.006428071923124257,0.0265381339465306,0.00928937219830539,527001.8276871251,2.687591262799988,0.01650161287261941,0.02516771846436975,0.01185872405767441,-0.00430073169991374,0.01253008469939232,0.003249234752729535,-0.03005649521946907,-0.001154700061306357,XArbitraryZVertical,0.005206506640310933,-0.0141170162207576,-0.9742588481799354,-0.2249295420452904,0.01649563759565353,-0.02516506239771843,-0.9995471835136414,0,0,0,-1,526996.0553066251,automotive,2,2016-01-05 20:17:03.609,2016-01-05 19:56:19.584,21,29.00576,0,0,2016-01-05 20:13:06.845,527000.830073875,0,-23.46701,103.2872,3
2016-01-05 20:17:09.392,2148,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1452043029.124349,40.33801516987415,-74.65679992928604,25.09641,0.42,234.140625,4,5,-9999,1452043029.333055,16.99101829528809,-11.03091430664062,-15.697998046875,224.4382019042969,236.9576416015625,25,527002.0851301251,0,-0.1874847412109375,-0.9821319580078125,527002.027733125,0.1592554352900844,0.02855760900113769,0.06118719130900653,527002.027733125,2.691363169800569,0.01367670721777675,0.0387391781779914,0.1649462431669235,-0.002333709970116615,0.06395328044891357,-0.003702030749991536,-0.1011173129081726,0.006205837707966566,XArbitraryZVertical,0.002341235778014357,-0.02040539010785289,-0.9745924267305844,-0.2230420149409946,0.01366601977497339,-0.03872948884963989,-0.9991562962532043,0,0,0,-1,526996.0553066251,automotive,2,2016-01-05 20:17:03.609,2016-01-05 19:56:19.584,21,29.00576,0,0,2016-01-05 20:13:06.845,527000.830073875,0,-23.46701,103.2872,3
2016-01-05 20:17:09.606,2149,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1452043029.124349,40.33801516987415,-74.65679992928604,25.09641,0.42,234.140625,4,5,-9999,1452043029.536092,16.71842575073242,-11.30264282226562,-15.50128173828125,224.9833831787109,237.5028228759766,25,527002.288300125,-0.0019073486328125,-0.1141357421875,-1.0155029296875,527002.2277751251,-0.05549761395616124,0.0223199530959541,-0.001846635899860944,527002.2277751251,2.692952412093372,0.01416053330045361,0.04646668760346251,-0.04970532283186913,-0.008595305494964123,0.0006866285693831742,0.0125428456813097,-0.06353538483381271,0.009471101686358452,XArbitraryZVertical,0.001733440527491872,-0.02422316165971367,-0.9746946044851172,-0.2222175996871438,0.0141447763890028,-0.04644996672868729,-0.9988204836845398,0,0,0,-1,526996.0553066251,automotive,2,2016-01-05 20:17:03.609,2016-01-05 19:56:19.584,21,29.00576,0,0,2016-01-05 20:13:06.845,527002.1399291251,0,-23.47493,103.2873,3
2016-01-05 20:17:09.798,2150,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1452043029.124349,40.33801516987415,-74.65679992928604,25.09641,0.42,234.140625,4,5,-9999,1452043029.737929,16.07102203369141,-12.08392333984375,-16.64849853515625,224.8784637451172,237.3979034423828,25,527002.491511125,0.0254974365234375,-0.1179351806640625,-0.9935760498046875,527002.4278101251,-0.0001022653858590428,0.05311408478054033,-0.008999353955595762,527002.4278101251,2.695176108448932,0.01060751500300228,0.07179411205804971,0.005820881575345993,0.02216726168990135,-0.006694993004202843,-0.01231949217617512,-0.08604342490434647,-0.002769533777609468,XArbitraryZVertical,-0.002775506908442353,-0.03617179713663785,-0.9745924677847817,-0.2210280963824399,0.01057999022305012,-0.07173245400190353,-0.997367799282074,0,0,0,-1,526996.0553066251,automotive,2,2016-01-05 20:17:03.609,2016-01-05 19:56:19.584,21,29.00576,0,0,2016-01-05 20:13:06.845,527002.1399291251,0,-23.47493,103.2873,3
