loggingTime,loggingSample,identifierForVendor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,state
2015-11-10 17:11:11.987,1,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1447193471.949933,19.59814643859863,4.427146911621094,-13.17059326171875,269.487548828125,282.009033203125,25,580126.3434135,0.1377716064453125,0.05255126953125,-1.006210327148438,580126.2031185001,-0.0436454818408726,0.0435277701206911,0.02235404155790711,580126.2031185001,1.888400910370092,0.1434388881906862,-0.0466923307050254,-0.03423581272363663,0.00112802442163229,0.01756788045167923,-0.006484965328127146,0.005936938337981701,-0.008418739773333073,XArbitraryZVertical,0.07168271529481299,-0.02314739465145967,-0.806744897549138,-0.5860788826832874,0.1427917331457138,0.04667536541819572,-0.9886515736579895,0,0,0,-1,580126.3206565001,stationary,1,2015-11-10 17:11:12.053,null,0,0,0,0,null,580125.1949845001,0,-1.094574,100.2847,0
2015-11-10 17:11:12.158,2,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1447193472.130062,18.30475807189941,3.409534454345703,-13.49749755859375,267.7438354492188,280.2653198242188,25,580126.5152755,0.104156494140625,0.052276611328125,-1.00262451171875,580126.3682185001,0.07500926368262678,-0.03513481794530638,0.05397881318648905,580126.3682185001,1.890911369265917,0.1363033463786963,-0.0505293021335453,0.08417021483182907,-0.07742331176996231,0.04929325357079506,0.01274450495839119,0.014982920140028,-0.01452196761965752,XArbitraryZVertical,0.06994787869802319,-0.01941664732866495,-0.8076164678267849,-0.5852229737178789,0.1357082575559616,0.050507802516222,-0.9894605875015259,0,0,0,-1,580126.3206565001,stationary,1,2015-11-10 17:11:12.053,null,0,0,0,0,null,580126.5081565001,0,-1.113335,100.2849,0
2015-11-10 17:11:12.330,3,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1447193472.312578,17.65806579589844,3.579135894775391,-14.05316162109375,268.3153076171875,280.8367919921875,25,580126.6871435001,0.103271484375,0.04827880859375,-1.003143310546875,580126.5332935001,-0.06289294598720228,-0.03609462120217094,0.0008759136825270614,580126.5332935001,1.892886464850877,0.1147448784123017,-0.04497074199339261,-0.05399179458618164,-0.078288234770298,-0.003719588741660118,-0.007291312329471111,0.01900925859808922,-0.01340919639915228,XArbitraryZVertical,0.0596329430016421,-0.01529972044571032,-0.8090481114065674,-0.5845091822142415,0.1143774911761284,0.04495558515191078,-0.9924196600914001,0,0,0,-1,580126.3206565001,stationary,1,2015-11-10 17:11:12.053,null,0,0,0,0,null,580126.5081565001,0,-1.113335,100.2849,0
2015-11-10 17:11:12.503,4,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1447193472.494874,18.13457298278809,4.054027557373047,-13.66094970703125,269.594482421875,282.115966796875,25,580126.8589895001,0.118804931640625,-0.0207672119140625,-1.009597778320312,580126.6983565,0.01165532451073179,0.0647859208900306,-0.002817358117194826,580126.6983565,1.892091465003239,0.1083459809754278,-0.04718092760694928,0.02029147371649742,0.0226777046918869,-0.007331605069339275,-0.003674196312204003,-0.004866061732172966,-0.006298588123172522,XArbitraryZVertical,0.05768291722182843,-0.01255660768864884,-0.8089467312254047,-0.584910419383956,0.1080137938261032,0.04716342687606812,-0.9930300116539001,0,0,0,-1,580126.3206565001,stationary,1,2015-11-10 17:11:12.053,null,0,0,0,0,null,580126.5081565001,0,-1.113335,100.2849,0
2015-11-10 17:11:12.674,5,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1447193472.494874,18.13457298278809,4.054027557373047,-13.66094970703125,269.594482421875,282.115966796875,25,580127.0308825,0.1026611328125,0.0162353515625,-1.038589477539062,580126.8634385001,0.05013107804354257,0.2675701915652421,0.04400580753636033,580126.8634385001,1.897963862218391,0.1248056996367388,-0.03821913502931883,0.05838713049888611,0.2255757004022598,0.03960220888257027,-0.005586110521107912,-0.05897704139351845,-0.01810048706829548,XArbitraryZVertical,0.06178948479039388,-0.02081860301935683,-0.8103985257907903,-0.5822395338121786,0.1243910416960716,0.03820982947945595,-0.991497278213501,0,0,0,-1,580126.9726335,unknown,1,2015-11-10 17:11:12.700,null,0,0,0,0,null,580126.5081565001,0,-1.113335,100.2849,0
2015-11-10 17:11:12.858,6,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1447193472.677128,18.33879852294922,3.104255676269531,-14.64166259765625,267.013916015625,279.535400390625,25,580127.2027615,0.02215576171875,0.026397705078125,-0.9970245361328125,580127.0285175,0.07301668655502949,-0.4633167927438103,0.1931252517176031,580127.0285175,1.90864832501518,0.08242980831728255,-0.03641874581253462,0.08106564730405807,-0.5052366256713867,0.1887823194265366,0.03202169388532639,0.01595746912062168,-0.02979782782495022,XArbitraryZVertical,0.04413151773414178,-0.008974115216595234,-0.8146613761359852,-0.5781857111956599,0.08228189498186111,0.03641069680452347,-0.9959437251091003,0,0,0,-1,580126.9726335,unknown,1,2015-11-10 17:11:12.700,null,0,0,0,0,null,580126.5081565001,0,-1.113335,100.2849,0
2015-11-10 17:11:13.018,7,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1447193472.859315,15.61587524414062,2.086643218994141,-15.62237548828125,265.2906494140625,277.8121337890625,25,580127.3746345,0.04351806640625,0.016815185546875,-1.05889892578125,580127.3586645001,0.07955847545670014,0.06650738821865783,0.3054350159439888,580127.1935785001,1.952456017328819,0.03293545748672309,-0.0147243744475609,0.01546804886311293,-0.08907893300056458,0.3496133089065552,0.004763275384902954,0.01223843824118376,0.01096127275377512,XArbitraryZVertical,0.01776406350921421,-0.003125868137494879,-0.8281877065104699,-0.5601605035889294,0.03292593359947205,0.01472384203225374,-0.9993493556976318,0,0,0,-1,580126.9726335,unknown,1,2015-11-10 17:11:12.700,null,0,0,0,0,null,580126.5081565001,0,-1.113335,100.2849,0
2015-11-10 17:11:13.190,8,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1447193473.042336,15.95624351501465,0.4584693908691406,-16.080078125,263.7938232421875,276.3153076171875,25,580127.5465045001,0.04217529296875,-0.0081329345703125,-0.9882049560546875,580127.5237415,0.1533666534877012,0.3374427501373241,0.2011629382035713,580127.3586645001,2.008133849316641,0.03022642469254241,-0.007699259006066101,0.08761034905910492,0.02459797263145447,0.3010932505130768,-0.007500589359551668,-0.008080652914941311,-0.06622127443552017,XArbitraryZVertical,0.01481638505845264,-0.004866141825465916,-0.8435275554822641,-0.5368594402073009,0.03022092580795288,0.007699182722717524,-0.999513566493988,0,0,0,-1,580126.9726335,unknown,1,2015-11-10 17:11:12.700,null,0,0,0,0,null,580126.5081565001,0,-1.113335,100.2849,0
2015-11-10 17:11:13.361,9,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1447193473.223399,17.24962615966797,-1.305393218994141,-15.09918212890625,254.3968505859375,266.9183349609375,25,580127.7183595001,0.0947113037109375,-0.0181121826171875,-0.987060546875,580127.6888035,-0.002887665569972918,0.06022605647159694,0.2497653617814084,580127.6888035,2.079145908847352,0.1023094737330936,0.0357194874170764,0.005147327668964863,0.01830811612308025,0.2454220950603485,-0.01501454599201679,-0.01183449476957321,0.00138433650135994,XArbitraryZVertical,0.03504350954964294,-0.04127646516130004,-0.861385401095709,-0.5050578151473993,0.1020659357309341,-0.03571189194917679,-0.9941363930702209,0,0,0,-1,580126.9726335,unknown,1,2015-11-10 17:11:12.700,null,0,0,0,0,null,580126.5081565001,0,-1.113335,100.2849,0
2015-11-10 17:11:13.533,10,79EBDCF4-4125-4559-BDFE-92866EC9DAAB,1447193473.405415,18.30475807189941,-2.356922149658203,-14.1512451171875,251.4917297363281,264.0132141113281,25,580127.8902355001,0.0670318603515625,-0.03924560546875,-1.013458251953125,580127.8538905,-0.2384147028993817,-0.2763588894786126,0.2293045614424386,580127.8538905,2.133312259872621,0.08941654671961227,0.01990109396462251,-0.2303774952888489,-0.3182708024978638,0.2249618321657181,0.02990664169192314,-0.04429394379258156,0.02478421479463577,XArbitraryZVertical,0.03432936874860925,-0.030292033638334,-0.874886716421682,-0.482158812600486,0.08927975594997406,-0.01989977993071079,-0.9958077669143677,0,0,0,-1,580126.9726335,unknown,1,2015-11-10 17:11:12.700,null,0,0,0,0,null,580127.8212665,0,-1.188362,100.2858,0
